"EnterpriseNumber","Status","JuridicalSituation","TypeOfEnterprise","JuridicalForm","JuridicalFormCAC","StartDate"
"0552.627.113","AC","000","1",,,15-09-2025
"0660.962.750","AC","000","1",,,12-10-2025
"0717.947.577","AC","000","1",,,10-01-2019
"0753.409.193","AC","000","1",,,24-08-2020
"0793.929.063","AC","000","1",,,01-10-2025
"0803.778.325","AC","000","1",,,12-10-2025
"0843.619.886","AC","000","1",,,02-01-2012
"0872.480.059","AC","000","2","610",,14-03-2005
"1027.395.591","AC","000","1",,,12-10-2025
"1027.413.706","AC","000","1",,,01-10-2025
"1027.532.282","AC","000","1",,,01-10-2025
"1027.992.439","AC","000","1",,,12-10-2025
"1028.482.288","AC","000","1",,,12-10-2025
"1028.623.731","AC","000","1",,,09-10-2025
"1028.656.690","AC","000","1",,,03-10-2025
"1028.669.855","AC","000","1",,,12-10-2025
"1028.880.582","AC","000","1",,,12-10-2025
"1028.997.675","AC","000","1",,,10-10-2025
"1029.025.290","AC","000","2","610",,11-10-2025
"1029.025.686","AC","000","2","612",,11-10-2025
"1029.025.785","AC","000","2","612",,11-10-2025
"1029.025.884","AC","000","2","610",,11-10-2025
"1029.025.983","AC","000","2","610",,11-10-2025
"1029.026.082","AC","000","2","612",,11-10-2025
"1029.026.280","AC","000","2","612",,11-10-2025
"1029.026.379","AC","000","2","017",,11-10-2025
"1029.028.161","AC","000","2","017",,11-10-2025
"1029.028.458","AC","000","2","017",,11-10-2025
